_airbyte_raw_id,_airbyte_extracted_at,first_actor,rating,total_votes,title,year
019c19e3-5ffe-7a03-b933-61f019e243b3,2026-02-01 15:47:28.161+00,A.C. Abadie,7.4,9847,The Great Train Robbery,1903
019c19e3-616c-7c04-b83b-fd80641dae26,2026-02-01 15:47:28.161+00,Frank Powell,6.6,1375,A Corner in Wheat,1909
019c19e3-616f-77ba-a602-361219d93081,2026-02-01 15:47:28.161+00,Winsor McCay,7.3,1034,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",1911
019c19e3-6171-7026-a104-f7cc3b5d4d0e,2026-02-01 15:47:28.161+00,Jane Gail,6,371,Traffic in Souls,1913
019c19e3-6172-7528-9746-19a8a70fb48d,2026-02-01 15:47:28.161+00,Winsor McCay,7.3,1837,Gertie the Dinosaur,1914
019c19e3-6174-788a-b221-2bbf3f73801a,2026-02-01 15:47:28.161+00,Stanley Hunt,5.8,223,In the Land of the Head Hunters,1914
019c19e3-6176-7155-ae20-87b52bcc6ad8,2026-02-01 15:47:28.161+00,Pearl White,7.6,744,The Perils of Pauline,1914
019c19e3-6178-7dc4-ae89-46ace9cb297f,2026-02-01 15:47:28.161+00,George Beban,6.4,175,The Italian,1915
019c19e3-617a-7166-98d2-fc0245a456bc,2026-02-01 15:47:28.161+00,John McCann,6.8,626,Regeneration,1915
019c19e3-617b-7651-bd3e-5c1bc3f0d925,2026-02-01 15:47:28.161+00,Howard C. Hickman,6.3,162,Civilization,1916
019c19e3-617d-7dcc-bf71-68c42612c919,2026-02-01 15:47:28.161+00,Tyrone Power Sr.,5.9,247,Where Are My Children?,1916
019c19e3-617e-7b5a-9097-5d1653a2e846,2026-02-01 15:47:28.161+00,Mary Pickford,6.9,884,The Poor Little Rich Girl,1917
019c19e3-6180-7765-b023-e8074f143335,2026-02-01 15:47:28.161+00,Douglas Fairbanks,6.9,388,Wild and Woolly,1917
019c19e3-6182-762e-8e82-a46b5e45423d,2026-02-01 15:47:28.161+00,Tula Belle,6.6,446,The Blue Bird,1918
019c19e3-6183-75b7-bf84-2ee552509695,2026-02-01 15:47:28.161+00,Harold Lloyd,7,639,From Hand to Mouth,1919
019c19e3-6185-7d29-8325-855bf412d0dd,2026-02-01 15:47:28.161+00,Harold Lloyd,7,646,High and Dizzy,1920
019c19e3-6df0-759f-9428-c62c671390ef,2026-02-01 15:47:28.161+00,Alberto Sordi,5.8,258,Il tassinaro,1983
019c19e3-6187-7760-b87e-43e79be42d95,2026-02-01 15:47:28.161+00,Buster Keaton,8.3,3942,One Week,1920
019c19e3-6189-7c8e-a8a5-9e48555a8be0,2026-02-01 15:47:28.161+00,Edward Jobson,6.2,1020,The Saphead,1920
019c19e3-618a-7c7b-9524-d62e2f05cf42,2026-02-01 15:47:28.161+00,Lon Chaney,7,798,The Ace of Hearts,1921
019c19e3-618c-7d54-b508-f956e14ffad8,2026-02-01 15:47:28.161+00,Pomeroy Cannon,7.9,2475,The Four Horsemen of the Apocalypse,1921
019c19e3-618e-74e6-9007-24d180214170,2026-02-01 15:47:28.161+00,Lois Wilson,7.2,204,Miss Lulu Bett,1921
019c19e3-618f-7268-ab2f-a22b9cb2d092,2026-02-01 15:47:28.161+00,Harold Lloyd,6.8,489,Now or Never,1921
019c19e3-6190-77ad-8267-db490295a78b,2026-02-01 15:47:28.161+00,Richard Barthelmess,8.1,1455,Tol'able David,1921
019c19e3-6192-7c4e-8c2e-570fac2317f0,2026-02-01 15:47:28.161+00,Rudolph Christians,7.3,1777,Foolish Wives,1922
019c19e3-6193-755a-9a30-7b2d4dabc87e,2026-02-01 15:47:28.161+00,Mitchell Lewis,6.6,466,Salomè,1922
019c19e3-6195-73a4-8530-b934cfdba70c,2026-02-01 15:47:28.161+00,Wallace Beery,7.7,1460,Robin Hood,1922
019c19e3-6197-7d0e-9e47-c3c8a56d523a,2026-02-01 15:47:28.161+00,Buster Keaton,7.2,2628,Three Ages,1923
019c19e3-6198-7462-973e-bc1ed3c71475,2026-02-01 15:47:28.161+00,Edna Purviance,7.1,3179,A Woman of Paris: A Drama of Fate,1923
019c19e3-619a-70a0-a804-790b476c6b4a,2026-02-01 15:47:28.161+00,Lon Chaney,7.8,1825,He Who Gets Slapped,1924
019c19e3-619b-7261-aa9e-93fd158d713c,2026-02-01 15:47:28.161+00,George O'Brien,7.3,1276,The Iron Horse,1924
019c19e3-619d-7424-9286-27d024904c42,2026-02-01 15:47:28.161+00,George Ali,7.4,589,Peter Pan,1924
019c19e3-6c9c-723d-b0ae-699c9461e8a2,2026-02-01 15:47:28.161+00,Takako Irie,7.3,174,Kenji Mizoguchi: The Life of a Film Director,1975
019c19e3-619e-728e-98e2-9b4579177ebf,2026-02-01 15:47:28.161+00,Douglas Fairbanks,7.9,3770,The Thief of Bagdad,1924
019c19e3-619f-7a04-aea3-53883caeecba,2026-02-01 15:47:28.161+00,Frank Mayo,7.1,327,Wild Oranges,1924
019c19e3-61a1-7d4b-9822-75f67d488f28,2026-02-01 15:47:28.161+00,Betty Compson,6.5,156,White Shadows,1924
019c19e3-61a2-7644-8e43-7902522243ba,2026-02-01 15:47:28.161+00,Rin Tin Tin,6.7,188,Clash of the Wolves,1925
019c19e3-61a3-7899-941d-184fe757f390,2026-02-01 15:47:28.161+00,Merian C. Cooper,7.9,677,Grass: A Nation's Battle for Life,1925
019c19e3-7278-7147-ab94-d732ed73d7c0,2026-02-01 15:47:28.161+00,Riccardo Cucciolla,5.9,20,Antonio Gramsci: The Days of Prison,1977
019c19e3-61a5-7ccb-abc1-63c9f50196d9,2026-02-01 15:47:28.161+00,Ronald Colman,7.6,630,Lady Windermere's Fan,1925
019c19e3-61a6-74ac-b2f8-3f6e1d4e2c79,2026-02-01 15:47:28.161+00,Ronald Colman,6.9,222,Beau Geste,1926
019c19e3-61a7-7d98-982a-0365d22aa03c,2026-02-01 15:47:28.161+00,Billie Dove,7.2,1146,The Black Pirate,1926
019c19e3-61a8-767e-877f-d640f3b933cc,2026-02-01 15:47:28.161+00,Colleen Moore,8.1,694,Ella Cinders,1926
019c19e3-61aa-75a4-99c8-3d5bf62c5ccd,2026-02-01 15:47:28.161+00,Harold Lloyd,7.6,918,For Heaven's Sake,1926
019c19e3-61ac-760a-b538-9be827cd0fc9,2026-02-01 15:47:28.161+00,Rudolph Valentino,7.5,1339,The Son of the Sheik,1926
019c19e3-61ad-7854-9f4f-90dfb0618182,2026-02-01 15:47:28.161+00,Harry Langdon,6.8,547,The Strong Man,1926
019c19e3-61ae-798c-95bc-cdbc0aa63ef3,2026-02-01 15:47:28.161+00,Clara Bow,7.5,2025,It,1927
019c19e3-61af-7568-85fd-2048c1f3d47b,2026-02-01 15:47:28.161+00,Albert Dieudonnè,7.4,5064,Napoleon,1927
019c19e3-61b1-7397-b0be-b3c2ab0df1ad,2026-02-01 15:47:28.161+00,Nancy Nash,6.2,179,Upstream,1927
019c19e3-61b3-7ba0-b485-b5f4b0682270,2026-02-01 15:47:28.161+00,Clara Bow,7.8,7196,Wings,1927
019c19e3-61b4-79a7-8c81-e4d487868a07,2026-02-01 15:47:28.161+00,Margaret Mann,7,434,Four Sons,1928
019c19e3-61b5-7ae1-a2cc-5c3fbf95f4fe,2026-02-01 15:47:28.161+00,Lon Chaney,7.8,1257,"Laugh, Clown, Laugh",1928
